C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
7969.5,13855.599999999999,16.9,26.8,-5.1,-13.487053786316132,38.40343049693989,6.141387872812829e-7,4.344033838273386e-6
6831.0,15329.6,4.5,23.3,-22.7,-15.534516052059068,44.23343429639415,6.128227168530754e-7,4.334724778835872e-6
6934.5,13560.800000000001,27.5,33.8,-4.1,-14.063344086500528,40.04437631356609,4.394997910336394e-7,3.1087467583931876e-6
3726.0,10023.2,12.9,0.5,-17.8,-14.950495498533918,42.570477130843166,1.7551404988872339e-6,1.2414766622773355e-5
5899.499999999999,23289.2,3.1,18.0,-48.0,-15.344810886273288,43.69326227181481,6.640746514927643e-8,4.6972489231541046e-7
3622.4999999999995,10612.8,19.3,0.3,2.3,-14.545063868970557,41.41603927851804,1.2154379873213212e-6,8.597248463364777e-6
3519.0000000000005,22404.8,17.900000000000002,19.8,-9.6,-14.171035648041759,40.351020408288306,5.169741118381112e-8,3.656751668914706e-7
3519.0000000000005,17982.8,49.800000000000004,19.0,-13.7,-13.245377867398432,37.7152754334269,6.645122404712478e-8,4.7003441540191074e-7
6727.5,23584.0,10.100000000000001,0.8,44.6,-14.451858190666435,41.15064271042515,4.754819549515746e-8,3.3632620908732693e-7
6520.5,6485.6,10.0,45.6,7.7,-14.83533182872675,42.24255673701082,4.5534745452017785e-6,3.220843222366504e-5
7762.5,15329.6,36.300000000000004,2.5,22.5,-12.871264018279161,36.65001274298625,2.2605031257331455e-7,1.598938590603951e-6
6106.5,22699.600000000002,23.8,0.5,-17.4,-14.289557844686437,40.68850396943919,3.7865915656010824e-8,2.6783981460460704e-7
3622.4999999999995,14740.0,34.7,38.3,16.7,-13.900875433558356,39.58175833041852,2.524735560611494e-7,1.7858400959399419e-6
6313.5,13560.800000000001,38.1,18.1,15.4,-14.003416022121923,39.873735394376446,3.0180780420529294e-7,2.134799724874402e-6
2898.0000000000005,12086.8,9.9,40.1,40.9,-14.521729818643344,41.34959722274921,1.193238201089941e-6,8.440221054269735e-6
7659.0,10907.6,12.2,37.6,-9.6,-14.085445496531642,40.10730851338724,1.498496708632825e-6,1.0599428897267888e-5
3208.5,11792.0,44.1,20.4,-5.2,-13.20920225768587,37.612267946749604,4.2165433294385894e-7,2.9825191443636734e-6
3415.5,11497.2,34.50000000000001,48.2,-40.4,-13.723297211711019,39.07611691988382,5.983908313475282e-7,4.232642643193997e-6
7555.5,5896.0,26.400000000000002,29.9,-1.2,-13.090273142739223,37.2736257145412,3.17812627782974e-6,2.2480078410802236e-5
7659.0,23289.2,28.1,12.7,-27.2,-12.849863562239921,36.58907645999015,3.0406219558405314e-8,2.150745880103253e-7
8176.5,10318.0,20.8,9.2,41.2,-12.87272692529801,36.654178267110936,1.3680112219954069e-6,9.676456140790778e-6
5071.5,6485.6,20.5,2.5,-46.2,-14.684755433613583,41.81380111582032,3.0817255650363427e-6,2.179820003561928e-5
6934.5,13266.0,18.1,22.5,-41.0,-14.54076580413225,41.40380084328961,6.489470408545478e-7,4.590245662872258e-6
