Hour,Price_USD_per_kWh,Power_kW,SOC_Start,SOC_End,Hourly_Arbitrage_USD,Hourly_Aging_Cost_USD,Hourly_Net_Profit_USD
1,0.12,-10.8,0.5,0.5514,-1.296,0.117,-1.413
2,0.11,-15.8,0.5514,0.6267,-1.738,0.25,-1.988
3,0.1,-20.8,0.6267,0.7257,-2.08,0.433,-2.513
4,0.1,-20.8,0.7257,0.8248,-2.08,0.433,-2.513
5,0.11,-15.8,0.8248,0.9,-1.738,0.25,-1.988
6,0.15,0.0,0.9,0.9,0.0,0.0,0.0
7,0.2,21.572,0.9,0.7973,4.314,0.465,3.849
8,0.18,11.572,0.7973,0.7422,2.083,0.134,1.949
9,0.16,1.572,0.7422,0.7347,0.251,0.002,0.249
10,0.14,-8.428,0.7347,0.7748,-1.18,0.071,-1.251
11,0.13,-13.428,0.7748,0.8388,-1.746,0.18,-1.926
12,0.14,-8.428,0.8388,0.8789,-1.18,0.071,-1.251
13,0.15,-3.428,0.8789,0.8952,-0.514,0.012,-0.526
14,0.16,1.571,0.8952,0.8878,0.251,0.002,0.249
15,0.17,6.571,0.8878,0.8565,1.117,0.043,1.074
16,0.22,31.571,0.8565,0.7061,6.946,0.997,5.949
17,0.25,46.571,0.7061,0.4844,11.643,2.169,9.474
18,0.23,36.571,0.4844,0.3102,8.411,1.337,7.074
19,0.19,16.571,0.3102,0.2313,3.149,0.275,2.874
20,0.17,6.571,0.2313,0.2,1.117,0.043,1.074
21,0.15,0.0,0.2,0.2,0.0,0.0,0.0
22,0.14,-0.0,0.2,0.2,-0.0,0.0,-0.0
23,0.13,-0.0,0.2,0.2,-0.0,0.0,-0.0
24,0.12,0.0,0.2,0.2,0.0,0.0,0.0
