Hour,Price_USD_per_kWh,Power_kW,Power_Abs_kW,SOC_Start,SOC_End,Energy_Throughput_kWh,Hourly_Arbitrage_USD,Hourly_Aging_Cost_USD,Hourly_Net_Profit_USD
1,0.12,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2,0.11,-0.0,0.0,0.5,0.5,0.0,-0.0,0.0,-0.0
3,0.1,-41.641,41.641,0.5,0.6983,41.641,-4.164,0.625,-4.789
4,0.1,-42.359,42.359,0.6983,0.9,42.359,-4.236,0.635,-4.871
5,0.11,-0.0,0.0,0.9,0.9,0.0,-0.0,0.0,-0.0
6,0.15,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0
7,0.2,50.0,50.0,0.9,0.6619,50.0,10.0,0.75,9.25
8,0.18,50.0,50.0,0.6619,0.4238,50.0,9.0,0.75,8.25
9,0.16,0.0,0.0,0.4238,0.4238,0.0,0.0,0.0,0.0
10,0.14,-22.373,22.373,0.4238,0.5303,22.373,-3.132,0.336,-3.468
11,0.13,-50.0,50.0,0.5303,0.7684,50.0,-6.5,0.75,-7.25
12,0.14,-27.627,27.627,0.7684,0.9,27.627,-3.868,0.414,-4.282
13,0.15,-0.0,0.0,0.9,0.9,0.0,-0.0,0.0,-0.0
14,0.16,-0.0,0.0,0.9,0.9,0.0,-0.0,0.0,-0.0
15,0.17,-0.0,0.0,0.9,0.9,0.0,-0.0,0.0,-0.0
16,0.22,47.0,47.0,0.9,0.6762,47.0,10.34,0.705,9.635
17,0.25,50.0,50.0,0.6762,0.4381,50.0,12.5,0.75,11.75
18,0.23,50.0,50.0,0.4381,0.2,50.0,11.5,0.75,10.75
19,0.19,0.0,0.0,0.2,0.2,0.0,0.0,0.0,-0.0
20,0.17,-0.0,0.0,0.2,0.2,0.0,-0.0,0.0,-0.0
21,0.15,-0.0,0.0,0.2,0.2,0.0,-0.0,0.0,-0.0
22,0.14,-0.0,0.0,0.2,0.2,0.0,-0.0,0.0,-0.0
23,0.13,0.0,0.0,0.2,0.2,0.0,0.0,0.0,-0.0
24,0.12,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
