小时,电价,功率_kW,荷电状态,负极电位_V,SEI电流_nA
1,0.12,26.681,0.5,0.0269,-1064.28
2,0.11,-9.606,0.373,0.2502,-0.18
3,0.1,-49.999,0.419,0.322,-0.01
4,0.1,-49.999,0.657,0.308,-0.02
5,0.11,-11.576,0.895,0.248,-0.19
6,0.15,9.928,0.95,0.0892,-94.26
7,0.2,50.0,0.903,0.0066,-2343.83
8,0.18,50.0,0.665,-0.0037,-3500.03
9,0.16,40.074,0.427,0.0111,-1965.9
10,0.14,-49.999,0.236,0.4028,-0.0
11,0.13,-49.999,0.474,0.3138,-0.02
12,0.14,-49.999,0.712,0.3098,-0.02
13,0.15,-0.003,0.95,0.1673,-4.5
14,0.16,-0.0,0.95,0.1673,-4.51
15,0.17,-0.0,0.95,0.1673,-4.51
16,0.22,50.0,0.95,0.0085,-2176.71
17,0.25,50.0,0.712,-0.0019,-3260.67
18,0.23,50.0,0.474,-0.004,-3537.01
19,0.19,28.5,0.236,0.0894,-93.42
20,0.17,0.0,0.1,0.4049,-0.0
21,0.15,-0.0,0.1,0.405,-0.0
22,0.14,-0.0,0.1,0.4049,-0.0
23,0.13,0.0,0.1,0.4049,-0.0
24,0.12,0.001,0.1,0.4049,-0.0
