C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
3933.0,19162.0,23.3,46.8,-43.7,-14.47024073146184,41.20298569348102,1.0766560402152488e-7,7.615591732255035e-7
4243.5,15624.400000000001,31.7,11.0,-36.3,-14.348504991610051,40.85635179563774,2.1300498387160237e-7,1.5066640909546047e-6
3312.0,17982.8,3.5000000000000004,28.5,39.2,-15.322909168131707,43.63089868051213,3.08795106793988e-7,2.1842235351142916e-6
2587.5,12971.2,27.7,20.7,12.2,-13.215670047648763,37.6306845206074,5.435005180704362e-7,3.844382883010663e-6
5071.5,15329.6,29.0,37.0,-26.4,-14.652326504935797,41.72146203804849,2.483906485250851e-7,1.7569601605531519e-6
4554.0,13855.599999999999,24.8,43.1,-48.2,-14.779887793368442,42.08468377289283,4.261557302515555e-7,3.014359214766506e-6
4657.5,7664.8,3.8000000000000003,43.2,37.2,-15.757503046151198,44.86837397002033,4.319074867766354e-6,3.055043544582355e-5
3312.0,9728.4,32.2,16.6,-12.6,-13.667538597351419,38.91734821434135,1.0100850200902742e-6,7.1447099542916824e-6
7141.499999999999,7959.6,25.000000000000004,40.8,-42.7,-13.770971054021466,39.21186480958237,1.971027388228016e-6,1.3941815511327604e-5
7038.000000000001,14740.0,20.400000000000002,4.1,-19.0,-14.335154500186805,40.818337216800415,4.0943013542670613e-7,2.8960528133648983e-6
6727.5,10318.0,43.400000000000006,47.0,-36.5,-13.512471201817085,38.475804787519564,6.015037402562401e-7,4.2546614147077935e-6
2380.5,17098.399999999998,16.400000000000002,33.0,-36.2,-13.459596683752398,38.325248341918076,2.613963211080326e-7,1.8489541576102896e-6
2691.0,12086.8,35.900000000000006,43.7,17.6,-12.986938002712886,36.97938622156661,5.281249138134101e-7,3.7356254709082587e-6
3726.0,15034.800000000001,30.9,26.4,-7.3,-14.126407685902224,40.223945446667734,2.62035604947137e-7,1.8534760518251538e-6
5175.0,21520.399999999998,16.9,47.9,15.2,-14.930582726556098,42.51377692287649,6.708475661736774e-8,4.7451562873638653e-7
4864.5,21225.6,49.1,36.4,-10.1,-13.695599741508358,38.99725033503638,2.5202141860809738e-8,1.7826419582611548e-7
3312.0,23584.0,27.7,35.1,-5.6,-13.452693275512427,38.30559137586151,2.6834989784324896e-8,1.8981394122471629e-7
7866.0,11497.2,44.199999999999996,10.4,5.4,-12.432355100496794,35.400250683340445,4.971583354699407e-7,3.5165872551735413e-6
5796.000000000001,16508.800000000003,12.6,44.1,-36.5,-15.45019394181109,43.99333305919591,3.2338646189628846e-7,2.2874336589875216e-6
5175.0,9433.6,1.2,41.6,19.1,-16.23158125769268,46.218278102951246,3.131285105899074e-6,2.2148753244398115e-5
