C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
7244.999999999999,6485.6,16.400000000000002,47.9,4.1,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5589.0,14445.199999999999,16.9,23.2,7.8,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
7038.000000000001,14150.4,17.900000000000002,29.6,29.4,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
6210.0,20341.199999999997,11.4,24.0,-40.9,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
6210.0,7075.2,2.5,45.4,-35.1,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
7866.0,15919.2,17.4,48.6,-13.7,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5692.500000000001,19162.0,33.9,22.2,-39.3,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5071.5,18867.2,20.200000000000003,49.1,-20.4,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
6417.0,22110.0,11.6,47.3,-9.4,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
8073.0,9433.6,3.2,29.0,-22.5,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
4554.0,21815.2,17.1,40.8,-22.6,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5899.499999999999,15329.6,42.1,5.5,24.5,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5175.0,9728.4,34.6,23.7,31.0,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
6313.5,21225.6,34.0,26.0,28.9,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
6831.0,18572.4,10.0,36.0,20.2,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5485.5,10023.2,14.000000000000002,18.1,-39.1,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
2794.5,14740.0,43.1,46.8,-28.0,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
3105.0,19162.0,0.5,7.0,-33.9,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
3933.0,9728.4,12.6,4.4,-46.7,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
4657.5,7959.6,1.8,11.1,-12.1,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
7348.5,8549.199999999999,47.00000000000001,44.6,-12.6,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
2794.5,18572.4,14.000000000000002,11.6,3.3,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
6417.0,10023.2,0.7000000000000001,44.8,-9.3,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
8176.5,12971.2,45.300000000000004,35.0,6.7,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
4864.5,9433.6,16.6,3.4,-38.4,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
7969.5,17393.2,37.5,49.2,19.0,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
4140.0,22699.600000000002,9.8,10.8,-41.3,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
7348.5,20341.199999999997,49.5,31.9,-23.2,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
6106.5,10612.8,20.0,37.0,19.7,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5899.499999999999,13560.800000000001,28.900000000000002,33.5,30.2,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
2380.5,10318.0,41.7,1.3,-27.7,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
3726.0,16803.6,47.7,5.5,36.1,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
7348.5,15919.2,45.300000000000004,40.1,-38.9,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
3726.0,20636.0,12.4,45.9,22.3,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
7141.499999999999,10907.6,48.7,13.9,-37.6,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5899.499999999999,22994.4,2.4,12.6,-34.5,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
4347.0,16803.6,26.6,40.2,25.8,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
8280.0,13560.800000000001,48.0,35.1,-9.5,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
6003.0,22404.8,45.9,42.1,21.3,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5278.5,21520.399999999998,31.599999999999998,23.7,37.7,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
2587.5,20341.199999999997,39.5,1.5,-3.7,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
4554.0,19751.600000000002,11.6,37.2,8.1,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5278.5,20930.8,40.0,16.2,26.5,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5899.499999999999,20930.8,4.4,32.8,-47.1,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
3519.0000000000005,10318.0,16.7,3.1,6.8,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5692.500000000001,10023.2,36.0,39.1,-46.5,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
4657.5,15329.6,25.3,44.2,-4.3,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
2277.0,19162.0,14.4,5.6,13.5,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
5175.0,8549.199999999999,10.7,42.3,-38.1,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
6934.5,8254.400000000001,18.4,26.4,22.1,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
5589.0,22994.4,45.400000000000006,5.2,-32.2,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
7244.999999999999,16803.6,34.0,42.9,29.2,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
3312.0,20930.8,13.600000000000001,20.3,-41.2,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
2587.5,10612.8,18.4,29.8,26.3,-33.09907841359225,94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
3415.5,22110.0,9.9,4.4,40.1,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
3415.5,12676.4,5.500000000000001,41.7,-8.0,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
4761.0,21815.2,29.900000000000002,18.6,24.4,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
4243.5,15624.400000000001,32.7,33.2,21.7,-33.09907841359225,94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
3622.4999999999995,21520.399999999998,47.1,42.4,-0.7,33.09907841359225,-94.24728169016113,1.1022926192324519e-11,7.796928864927121e-11
3105.0,13560.800000000001,25.000000000000004,17.6,-28.8,33.09907841359225,-94.2472816901613,1.1022926192324519e-11,7.796928864927121e-11
